PolicyNumber,CustomerName,Status,PolicyType,StartDate,EndDate,PremiumAmount,Email
P001,John Doe,Active,Health,2023-01-01,2024-01-01,500,admin@abc.onmicrosoft.com
P002,Jane Smith,Expired,Auto,2022-05-15,2023-05-15,300,Demo@abc.onmicrosoft.com
P003,Emily Johnson,Active,Home,2023-03-10,2024-03-10,450,emily.johnson@example.com
P004,Michael Brown,Cancelled,Life,2021-07-20,2022-07-20,600,michael.brown@example.com
P005,Jessica Davis,Active,Travel,2023-06-01,2024-06-01,200,jessica.davis@example.com
P006,David Wilson,Expired,Health,2022-11-11,2023-11-11,550,david.wilson@example.com
P007,Laura Martinez,Active,Auto,2023-02-25,2024-02-25,320,laura.martinez@example.com
P008,James Anderson,Active,Home,2023-04-18,2024-04-18,470,james.anderson@example.com
P009,Patricia Thomas,Cancelled,Life,2021-09-30,2022-09-30,620,patricia.thomas@example.com
P010,Robert Jackson,Active,Travel,2023-07-05,2024-07-05,210,robert.jackson@example.com
P011,Linda White,Expired,Health,2022-12-12,2023-12-12,560,linda.white@example.com
P012,Christopher Harris,Active,Auto,2023-03-15,2024-03-15,330,christopher.harris@example.com
P013,Barbara Clark,Active,Home,2023-05-20,2024-05-20,480,barbara.clark@example.com
P014,Daniel Lewis,Cancelled,Life,2021-10-10,2022-10-10,630,daniel.lewis@example.com
P015,Elizabeth Robinson,Active,Travel,2023-08-01,2024-08-01,220,elizabeth.robinson@example.com
P016,Matthew Walker,Expired,Health,2022-01-01,2023-01-01,570,matthew.walker@example.com
P017,Jennifer Hall,Active,Auto,2023-04-25,2024-04-25,340,jennifer.hall@example.com
P018,Anthony Allen,Active,Home,2023-06-18,2024-06-18,490,anthony.allen@example.com
P019,Susan Young,Cancelled,Life,2021-11-30,2022-11-30,640,susan.young@example.com
P020,Mark King,Active,Travel,2023-09-05,2024-09-05,230,mark.king@example.com
P021,Steven Wright,Expired,Health,2022-02-02,2023-02-02,580,steven.wright@example.com
P022,Donna Scott,Active,Auto,2023-05-15,2024-05-15,350,donna.scott@example.com
P023,George Green,Active,Home,2023-07-20,2024-07-20,500,george.green@example.com
P024,Michelle Adams,Cancelled,Life,2021-12-10,2022-12-10,650,michelle.adams@example.com
P025,Kevin Baker,Active,Travel,2023-10-01,2024-10-01,240,kevin.baker@example.com
P026,Carol Gonzalez,Expired,Health,2022-03-03,2023-03-03,590,carol.gonzalez@example.com
P027,Edward Nelson,Active,Auto,2023-06-25,2024-06-25,360,edward.nelson@example.com
P028,Dorothy Carter,Active,Home,2023-08-18,2024-08-18,510,dorothy.carter@example.com
P029,Paul Mitchell,Cancelled,Life,2022-01-30,2023-01-30,660,paul.mitchell@example.com
P030,Betty Perez,Active,Travel,2023-11-05,2024-11-05,250,betty.perez@example.com
P031,Jason Roberts,Expired,Health,2022-04-04,2023-04-04,600,jason.roberts@example.com
P032,Sarah Turner,Active,Auto,2023-07-15,2024-07-15,370,sarah.turner@example.com
P033,Andrew Phillips,Active,Home,2023-09-20,2024-09-20,520,andrew.phillips@example.com
P034,Kimberly Campbell,Cancelled,Life,2022-02-28,2023-02-28,670,kimberly.campbell@example.com
P035,Joshua Parker,Active,Travel,2023-12-01,2024-12-01,260,joshua.parker@example.com
P036,Angela Evans,Expired,Health,2022-05-05,2023-05-05,610,angela.evans@example.com
P037,Thomas Edwards,Active,Auto,2023-08-25,2024-08-25,380,thomas.edwards@example.com
P038,Nancy Collins,Active,Home,2023-10-18,2024-10-18,530,nancy.collins@example.com
P039,Charles Stewart,Cancelled,Life,2022-03-30,2023-03-30,680,charles.stewart@example.com
P040,Karen Sanchez,Active,Travel,2024-01-05,2025-01-05,270,karen.sanchez@example.com
P041,Joseph Morris,Expired,Health,2022-06-06,2023-06-06,620,joseph.morris@example.com
P042,Lisa Rogers,Active,Auto,2023-09-15,2024-09-15,390,lisa.rogers@example.com
P043,Donald Reed,Active,Home,2023-11-20,2024-11-20,540,donald.reed@example.com
P044,Helen Cook,Cancelled,Life,2022-04-30,2023-04-30,690,helen.cook@example.com
